"시도별","시점",과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤)
"계","2003",58283,2214824,23508,783263,5764,2529,145765,17744,3593,637498,7731,239360,372,2002,7448,7359,3151,231912,7503,205427,331,1396,4622,7172,2800,200805,6648,445033,1297,3848,49910,5351,7384,395123,8791,271823,5308,2560,135888,3483,3903,135935,4102,269918,131,4425,5797,3971,6651,264121
"계","2004",57673,2375692,21654,823672,4245,3093,131293,17409,3977,692379,7329,243098,367,2078,7628,6962,3382,235470,7329,202500,271,1288,3491,7058,2820,199009,6026,407464,1279,4225,54038,4747,7445,353426,9452,304337,5950,2613,155447,3502,4252,148890,5883,394621,259,4499,11653,5624,6810,382968
"계","2005",59154,2488043,23179,904895,4055,3144,127474,19124,4065,777421,7077,199785,422,2109,8900,6655,2868,190885,6969,201995,260,1435,3732,6709,2955,198263,5853,403280,1356,4200,56948,4497,7701,346332,9327,339097,5743,3103,178234,3584,4488,160863,6749,438991,256,4599,11773,6493,6580,427218
"계","2006",56314,2348150,20553,778374,3718,2764,102764,16835,4013,675610,6827,219712,275,2083,5729,6552,3266,213983,6813,205307,333,1508,5022,6480,3091,200285,5841,389555,1244,4300,53497,4597,7310,336058,9667,322047,6672,2699,180110,2995,4739,141937,6613,433155,275,4205,11563,6338,6652,421592
"계","2007",54786,2290639,19028,741880,3271,2767,90498,15757,4134,651382,6472,205416,212,2091,4433,6260,3211,200983,6665,203227,309,1415,4372,6356,3129,198855,4893,330225,1094,4329,47359,3799,7446,282866,10375,330040,7524,2582,194258,2851,4763,135782,7353,479851,223,4282,9549,7130,6596,470302
"계","2008",55004,2389029,20756,856755,3516,2807,98697,17240,4397,758058,6607,220385,199,2172,4322,6408,3372,216063,6394,192296,288,1420,4089,6106,3082,188207,5630,383921,1262,4366,55102,4368,7528,328819,9473,327502,6528,2670,174285,2945,5203,153217,6144,408170,136,3858,5247,6008,6706,402923
"계","2009",54676,2355474,20707,846921,3497,2965,103689,17210,4319,743232,6730,227832,128,2384,3052,6602,3405,224780,6324,203772,219,1590,3482,6105,3281,200290,4932,352018,931,4485,41756,4001,7755,310262,9795,341163,6338,2554,161875,3457,5186,179288,6188,383768,237,3241,7680,5951,6320,376088
"계","2010",48296,2052198,16396,678810,2293,2866,65725,14103,4347,613085,6215,207747,118,2242,2645,6097,3364,205102,7049,231803,208,1493,3105,6841,3343,228698,4396,306164,807,4064,32798,3589,7617,273366,8970,302868,5724,2529,144783,3246,4870,158085,5270,324806,0,0,0,5270,6163,324806
"계","2011",46595,1932947,15717,608986,2722,2937,79951,12995,4071,529035,5852,180013,133,2100,2793,5719,3099,177220,5816,171519,135,1686,2276,5681,2979,169243,4540,303805,1062,3889,41305,3478,7547,262500,8820,300400,5830,2665,155368,2990,4851,145032,5850,368224,0,0,0,5850,6294,368224
"계","2012",48418,2067741,15182,642945,2446,3101,75858,12736,4453,567087,5840,186693,219,2090,4578,5621,3240,182115,6435,192140,145,2167,3142,6290,3005,188998,4167,288071,966,4134,39937,3201,7752,248134,10450,325113,7582,2515,190725,2868,4686,134388,6344,432779,0,0,0,6344,6822,432779
"계","2013",46432,2032903,14885,672914,2586,3747,96893,12299,4683,576021,5515,176622,135,1870,2525,5380,3236,174097,6890,216803,101,2203,2225,6789,3161,214578,3629,254576,793,4314,34209,2836,7770,220367,9459,323364,6805,2868,195144,2654,4831,128220,6054,388624,0,0,0,6054,6419,388624
"계","2014",50097,2179553,16865,686883,2855,3453,98592,14010,4199,588291,5485,158239,127,2238,2842,5358,2900,155397,6875,209901,50,2014,1007,6825,3061,208894,4143,279105,862,3800,32753,3281,7508,246352,9659,345465,6504,2946,191636,3155,4876,153829,7070,499960,0,0,0,7070,7072,499960
"계","2015",48784,2082403,15185,634352,2613,3435,89747,12572,4332,544605,5438,161100,133,1934,2572,5305,2988,158528,6403,194513,97,1791,1737,6306,3057,192776,4137,271040,799,3858,30828,3338,7196,240212,10645,364416,7249,2784,201840,3396,4787,162576,6976,456982,0,0,0,6976,6551,456982
"계","2016",44661,1940733,13440,570160,2273,3783,85994,11167,4336,484166,5064,157086,192,1697,3258,4872,3157,153828,5978,191218,134,1899,2545,5844,3228,188673,4781,333760,875,3803,33274,3906,7693,300486,9007,298206,6150,2470,151933,2857,5120,146273,6391,390303,0,0,0,6391,6107,390303
"계","2017",41943,1890612,12661,506471,2726,3402,92736,9935,4164,413735,3581,166281,127,1805,2298,3454,4748,163983,5907,208699,124,1995,2473,5783,3566,206226,4918,341364,1113,4033,44888,3805,7792,296476,9095,312690,6177,2566,158508,2919,5283,154182,5782,355107,0,0,0,5782,6142,355107
"계","2018",42078,1880890,11814,476634,2367,3234,76543,9447,4235,400091,3614,130528,145,2138,3104,3469,3674,127424,6062,183639,93,1885,1745,5969,3047,181894,5323,391214,1160,4212,48849,4164,8222,342365,9206,310218,6299,2731,172052,2907,4753,138166,6058,388657,0,0,0,6058,6415,388657
"계","2019",42623,1928430,11972,475815,2648,3190,84469,9325,4197,391346,3648,150234,159,2007,3194,3488,4215,147040,6462,234225,41,2283,934,6421,3633,233291,4962,366065,999,4129,41250,3963,8196,324815,9874,343511,6814,2609,177795,3060,5416,165716,5706,358580,0,0,0,5706,6284,358580
"계","2020",40667,1784019,11580,466529,2623,3141,82398,8957,4288,384131,3596,148875,186,2071,3856,3409,4254,145019,5683,163646,49,2280,1126,5634,2885,162520,4721,335596,1069,4081,43638,3652,7995,291958,9565,325325,6781,2565,173951,2784,5437,151374,5521,344048,0,0,0,5521,6231,344048
"계","2021",40858,1761337,11748,489029,2228,3476,77456,9520,4323,411573,4653,198598,212,1990,4214,4441,4377,194384,6103,177480,46,1970,909,6057,2915,176571,4121,283933,1113,3997,44501,3008,7960,239432,8222,242914,6550,2394,156820,1671,5151,86094,6010,369383,0,0,0,6010,6146,369383
