"시도별","시점",과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤)
"전라남도","1999",8641,317375,4259,86175,2516,1432,36029,1743,2877,50146,310,8483,107,1770,1894,203,3246,6589,1248,32138,173,1756,3038,1075,2707,29100,968,103841,38,5154,1959,930,10955,101882,924,27760,559,2023,11309,365,4507,16451,932,58978,5,5427,271,927,6333,58707
"전라남도","2000",7976,352247,3403,79487,1680,1551,26057,1723,3101,53430,266,6661,96,1695,1627,170,2961,5034,1281,36615,154,1412,2174,1127,3056,34441,1322,143052,84,5027,4223,1238,11214,138829,861,24381,574,2238,12846,287,4019,11535,843,62051,7,3873,271,836,7390,61780
"전라남도","2001",7290,347992,3134,127093,1413,1895,26776,1721,5829,100317,234,6521,41,1853,760,193,2985,5761,1368,38216,79,1531,1209,1289,2871,37007,1043,111978,82,5101,4183,961,11217,107795,957,28597,652,2273,14820,305,4517,13777,554,35587,1,3972,40,553,6428,35547
"전라남도","2002",6869,315767,2695,85947,1009,2419,24408,1686,3650,61539,113,3717,24,3472,833,89,3240,2884,1448,38737,69,1780,1228,1379,2720,37509,1087,117560,76,5163,3924,1011,11240,113636,983,31705,725,2640,19140,258,4870,12565,543,38101,1,4650,47,542,7021,38054
"경상북도","1991",11323,303142,5195,138724,3417,2376,81188,1778,3236,57536,4543,127562,941,1862,17521,3602,3055,110041,322,5999,51,1156,590,271,1996,5409,603,15835,318,1910,6074,285,3425,9761,416,7269,298,1694,5048,118,1882,2221,244,7753,81,1951,1580,163,3787,6173
"경상북도","1992",11759,337215,5350,151274,3244,2465,79965,2106,3386,71309,4510,134180,552,2080,11482,3958,3100,122698,354,8081,55,1471,809,299,2432,7272,650,20484,288,2506,7217,362,3665,13267,485,8333,401,1696,6801,84,1824,1532,410,14863,124,3284,4072,286,3773,10791
"경상북도","1993",12384,351087,5160,146524,2876,2281,65602,2284,3543,80922,5007,148232,390,2197,8568,4617,3025,139664,439,10026,43,1325,570,396,2388,9456,625,19927,211,2457,5184,414,3561,14743,791,13366,543,1612,8753,248,1860,4613,362,13012,84,3054,2565,278,3758,10447
"경상북도","1994",12906,363269,4856,136652,2419,2112,51089,2437,3511,85563,5576,163181,373,1901,7091,5203,3000,156090,553,11790,91,1132,1030,462,2329,10760,674,21737,260,2418,6287,414,3732,15450,751,12819,664,1692,11235,87,1821,1584,496,17090,107,2924,3129,389,3589,13961
"경상북도","1995",14714,431557,6109,161418,3800,2445,92910,2309,2967,68508,6218,204948,223,1899,4235,5995,3348,200713,650,17336,43,1468,631,607,2752,16705,666,24324,191,2464,4706,475,4130,19618,690,11905,591,1705,10077,99,1846,1828,287,11626,81,2985,2418,206,4470,9208
"경상북도","1996",14037,407685,4832,130461,2673,2397,64072,2159,3075,66389,6817,208362,119,1678,1997,6698,3081,206365,611,14702,32,1578,505,579,2452,14197,681,24899,176,2498,4396,505,4060,20503,732,14024,660,1859,12269,72,2437,1755,364,15237,18,3262,587,346,4234,14650
"경상북도","1997",14508,444624,5505,159056,3005,2417,72631,2500,3457,86425,6705,211431,80,2353,1882,6625,3163,209549,477,14185,30,2300,690,447,3019,13495,700,22498,202,2642,5337,498,3446,17161,663,13066,548,1808,9908,115,2746,3158,458,24388,31,3616,1121,427,5449,23267
"경상북도","1998",14320,434435,4901,136335,2639,2263,59721,2262,3387,76614,6963,220589,28,2181,611,6935,3172,219978,578,15654,58,1483,860,520,2845,14794,809,31442,277,3075,8518,532,4309,22924,710,12917,560,1710,9576,150,2227,3341,359,17498,28,5219,1461,331,4845,16037
"경상북도","1999",14925,447619,5089,121072,2781,1648,45831,2308,3260,75241,7352,237578,21,2002,420,7331,3235,237158,438,10709,65,1515,985,373,2607,9724,710,35172,259,3576,9262,451,5745,25910,809,16258,626,1878,11756,183,2460,4502,527,26830,40,4032,1613,487,5178,25217
"경상북도","2000",14001,471901,4278,122271,1934,2405,46513,2344,3232,75758,6843,248899,43,2416,1039,6800,3645,247860,663,16496,49,1573,771,614,2561,15725,620,34456,153,3611,5525,467,6195,28931,1086,23143,856,2016,17257,230,2559,5886,511,26636,22,3801,836,489,5276,25800
"경상북도","2001",12753,422452,3738,114049,1642,2755,45237,2096,3283,68812,6234,208017,7,2288,160,6227,3338,207857,751,19034,38,1606,610,713,2584,18424,716,41975,176,3762,6621,540,6547,35354,948,21067,758,2022,15327,190,3021,5740,366,18310,24,3758,902,342,5090,17408
"경상북도","2002",12638,415412,3809,106318,1828,2164,39558,1981,3370,66760,5973,194210,16,3052,488,5957,3252,193722,735,20907,29,1686,489,706,2892,20418,610,47428,153,3731,5708,457,9129,41720,1055,21457,853,1809,15431,202,2983,6026,456,25092,32,3958,1267,424,5619,23825
